OMR Version,Policy # (masked),Odom Reading 1 (Previous),Odom Reading 1 (Update),Odom Reading 2 (Previous),Odom Reading 2 (Update),Odom Reading 3 (Previous),Odom Reading 3 (Update),Odom Reading 4 (Previous),Odom Reading 4 (Update)
Sign Top,6936,92070,125408,,,,,,
Sign Top,6937,36,16029,35,47101,,,,
Sign Top,6938,36000,80062,24000,72797,,,,
Sign Bottom,6939,120438,145546,,,,,,
Sign Bottom,6940,58459,87715,36350,56563,,,,
Sign Top,6941,113985,125653,,,,,,
Sign Top,6942,0,8605,,,,,,
Sign Bottom,6943,57464,72224,,,23800,30322,,
Sign Top,6944,100000,118500,,,,,,
Sign Top,6945,32408,80575,,,,,,
Sign Top,6946,20283,51502,19,31561,,,,
Sign Bottom,6947,116013,141026,,,83146,102634,,
Sign Top,6948,45000,94845,7000,38844,,,,
Sign Bottom,6949,94952,113443,,,,,,
Sign Bottom,6950,36019,67007,2551,34641,91158,101298,,
Sign Top,6951,20,25279,,,,,,
Sign Top,6952,935,17465,9858,45449,,,,
Sign Bottom,6953,22594,49221,80615,121359,,,,
Sign Top,6954,77361,109931,,,,,,
Sign Bottom,6955,83207,121461,,,,,,
Sign Top,6956,89926,116224,105207,136394,,,,
Sign Bottom,6957,88193,95772,,,,,,
Sign Top,6958,35785,83341,,,,,,
Sign Bottom,6959,93387,97531,179561,195699,,,,
Sign Top,6960,52000,88940,,,,,,
Sign Top,6961,43397,77886,,,,,,
Sign Bottom,6962,178419,201558,,,,,,
Sign Top,6963,1007,32769,58697,65967,467,5631,,
Sign Top,6964,386,3041,,,177101,190104,,
Sign Top,6965,130700,138300,50000,95341,22,1626,,
Sign Bottom,6966,83880,95721,,,,,,
Sign Bottom,6967,104935,120539,35747,45397,,,,
Sign Top,6968,12822,50006,,,,,,
Sign Bottom,6969,10187,21353,20214,33226,126579,141518,,
Sign Top,6970,322,44114,134,19616,,,,
Sign Bottom,6971,36600,78537,,,157002,201450,,
Sign Top,6972,82324,118041,52732,74696,,,,
Sign Top,6973,76286,92212,,,,,130523,179302
Sign Bottom,6974,44553,60335,,,,,,
Sign Top,6975,27824,47139,,,,,,
Sign Bottom,6976,188387,204813,,,,,,
Sign Top,6977,46000,66984,6437,51149,,,,
Sign Top,6978,70000,101208,,,,,,
Sign Bottom,6979,99480,143893,131651,144172,,,,
Sign Bottom,6980,20000,58839,24889,50841,,,,
Sign Bottom,6981,122273,149264,84097,96863,,,,
Sign Bottom,6982,2785,39015,,,,,,
Sign Bottom,6983,7451,48941,,,,,,
Sign Top,6984,0,22386,27000,27507,,,,
Sign Bottom,6985,27573,51670,,,,,,
Sign Bottom,6986,61683,67418,27759,48700,,,,
Sign Bottom,6987,95219,108068,,,,,,
Sign Top,6988,170000,175204,,,,,,
Sign Top,6989,108409,145490,,,,,,
Sign Top,6990,236,47692,,,,,,
Sign Bottom,6991,92540,103256,59870,100788,,,,
Sign Bottom,6992,153000,158847,,,,,,
Sign Bottom,6993,19320,42604,72714,104453,,,,
Sign Bottom,6994,99592,114658,,,,,,
Sign Top,6995,17000,22367,,,,,,
Sign Top,6996,175000,197574,158000,165209,,,,
Sign Top,6997,56986,92763,,,,,,
Sign Bottom,6998,57744,101830,,,,,,
Sign Bottom,6999,205113,249449,,,,,,
Sign Top,7000,92714,121041,,,,,,
Sign Bottom,7001,115500,129292,,,,,,
Sign Top,7002,46596,78114,,,,,,
Sign Bottom,7003,48799,64433,130840,171236,99775,132087,,
Sign Bottom,7004,69021,95294,55474,84417,,,,
Sign Bottom,7005,24311,46776,,,,,,
Sign Top,7006,649,22122,,,,,,
Sign Top,7007,81486,114917,,,,,,
Sign Bottom,7008,41285,58217,130607,159153,57918,107913,,
Sign Bottom,7009,44483,61897,,,,,,
Sign Top,7010,37000,38953,,,,,,
Sign Bottom,7011,7407,27383,,,,,,
Sign Bottom,7012,31702,61586,101055,123490,,,,
Sign Bottom,7013,112000,157288,19834,39079,,,,
Sign Top,7014,170528,214917,,,,,,
Sign Top,7015,136236,169028,50751,89920,,,,
Sign Bottom,7016,48946,72049,,,,,,
Sign Bottom,7017,26809,36130,,,,,,
Sign Top,7018,49733,80540,,,,,,
Sign Top,7019,44803,49921,,,,,,
Sign Top,7020,42412,76145,,,,,,
Sign Bottom,7021,70394,80992,,,,,,
Sign Top,7022,812,820,43375,89553,,,,
Sign Bottom,7023,119463,145458,,,,,,
Sign Top,7024,56500,78075,19000,63026,,,,
Sign Top,7025,84971,101641,57678,73672,,,,
Sign Bottom,7026,119015,129267,,,,,,
Sign Top,7027,122220,128956,,,46547,77175,,
Sign Top,7028,795,12445,,,,,,
Sign Top,7029,80063,113605,120249,150429,,,,
Sign Top,7030,114100,134812,200000,241094,12,43478,,
Sign Top,7031,95201,142465,22501,45799,,,,
Sign Top,7032,84728,98442,,,64761,113564,,
Sign Bottom,7033,31728,36822,,,,,,
Sign Bottom,7034,31512,68078,,,,,,
Sign Top,7035,704,37606,,,,,,
Sign Bottom,7036,19477,55365,71572,87913,,,,
Sign Bottom,7037,149280,169086,55622,68997,,,,
Sign Bottom,7038,194214,226537,36350,40400,,,,
Sign Bottom,7039,35038,49669,16405,24774,,,,
Sign Top,7040,24224,69535,,,130000,163848,,
Sign Bottom,7041,6088,47341,,,,,,
Sign Top,7042,13014,41486,,,,,,
Sign Top,7043,24371,70242,447,22765,65225,78754,,
Sign Top,7044,126300,154507,,,,,,
Sign Bottom,7045,94000,117768,,,24240,64033,,
Sign Bottom,7046,79594,115906,10450,23816,,,,
Sign Top,7047,40438,80454,,,814,17158,,
Sign Top,7048,106000,135289,,,24326,38706,,
Sign Top,7049,103098,121085,,,4065,43989,,
Sign Top,7050,56047,78611,,,193970,229964,,
Sign Top,7051,30341,52360,,,,,,
Sign Bottom,7052,89172,124661,,,,,,
Sign Top,7053,58500,65202,,,,,,
Sign Bottom,7054,42894,68114,67412,113373,,,,
Sign Bottom,7055,88447,110894,,,,,,
Sign Top,7056,35917,81773,,,,,,
Sign Top,7057,75199,105098,,,109119,130807,,
Sign Top,7058,13037,48205,335,26296,,,,
Sign Top,7059,107709,119073,,,,,,
Sign Bottom,7060,77026,78753,19789,30861,193704,224732,,
Sign Top,7061,0,37212,97000,122573,150000,177807,,
Sign Bottom,7062,34746,77852,32187,51442,,,,
Sign Top,7063,59058,88122,94000,142642,,,,
Sign Top,7064,130208,163384,,,,,,
Sign Top,7065,42488,85222,,,,,,
Sign Bottom,7066,118651,163810,41318,57813,,,,
Sign Bottom,7067,40840,61398,,,,,,
Sign Top,7068,675,13512,23048,53121,,,,
Sign Top,7069,97633,100353,,,792,1549,,
Sign Bottom,7070,129585,131316,133119,158989,89193,114160,146241,190322
Sign Top,7071,30000,58824,,,,,,
Sign Top,7072,9390,53219,80,39354,,,,
Sign Top,7073,2600,39634,,,,,,
Sign Bottom,7074,62838,99589,,,,,,
Sign Top,7075,69125,73511,,,,,,
Sign Top,7076,39343,59144,109965,134033,,,,
Sign Top,7077,25634,26388,50182,68598,144492,178763,,
Sign Bottom,7078,23600,36976,,,,,,
Sign Top,7079,23393,23923,,,34646,68344,,
Sign Top,7080,10,44687,,,,,,
Sign Bottom,7081,82093,93873,47006,80281,,,,
Sign Top,7082,60185,102713,52097,92490,,,,
Sign Top,7083,118079,146930,,,,,,
Sign Top,7084,500,30724,130000,176825,,,,
Sign Bottom,7085,19420,52619,39800,45112,32100,32740,,
Sign Bottom,7086,104991,134985,54570,102710,,,,
Sign Bottom,7087,60246,92796,,,,,,
Sign Top,7088,17000,55397,,,,,,
Sign Bottom,7089,53761,63850,,,,,,
Sign Top,7090,12250,15562,15383,49119,,,,
Sign Top,7091,55532,88871,,,,,,
Sign Top,7092,5427,8089,,,,,,
Sign Top,7093,9000,56973,,,,,,
Sign Top,7094,167293,184171,,,,,,
Sign Bottom,7095,7561,40397,,,,,,
Sign Bottom,7096,20156,55448,13201,57440,,,,
Sign Bottom,7097,179658,205199,,,,,,
Sign Bottom,7098,72691,107309,,,,,,
Sign Bottom,7099,88136,90493,,,,,,
Sign Bottom,7100,286120,306619,3737,6254,,,,
Sign Bottom,7101,195412,221133,,,,,,
Sign Top,7102,15000,49643,8000,31565,,,,
Sign Top,7103,110569,111831,71116,107677,,,,
Sign Top,7104,25017,71023,,,,,,
Sign Top,7105,19019,66992,,,,,,
Sign Top,7106,2,2045,,,,,,
Sign Bottom,7107,31087,80571,159443,167437,,,,
Sign Bottom,7108,76605,110989,68291,108284,,,,
Sign Top,7109,510,46128,,,,,,
Sign Bottom,7110,72150,87455,55287,75107,,,,
Sign Top,7111,59000,69906,,,,,,
Sign Bottom,7112,130000,148266,,,,,,
Sign Top,7113,223629,252145,25000,68718,,,,
Sign Bottom,7114,34449,62439,,,,,,
Sign Bottom,7115,51199,92108,72979,95480,,,7676,16641
Sign Bottom,7116,23726,56382,,,,,,
Sign Top,7117,70912,85383,24811,48826,,,,
Sign Top,7118,17365,24959,,,,,,
Sign Bottom,7119,111434,157783,39961,53723,,,,
Sign Top,7120,20044,63233,0,43864,,,,
Sign Top,7121,150000,190954,0,23396,0,1093,,
Sign Top,7122,494,47511,,,,,,
Sign Bottom,7123,113832,154996,,,,,,
Sign Top,7124,20766,66179,688,33290,,,,
Sign Bottom,7125,44178,58691,,,,,,
Sign Bottom,7126,111201,142206,52600,71873,78900,112525,,
Sign Bottom,7127,117786,125289,86082,109348,87532,94280,,
Sign Top,7128,77761,124565,,,,,,
Sign Top,7129,60826,66961,147000,189263,,,,
Sign Bottom,7130,105984,131868,1000581,1006992,,,,
Sign Bottom,7131,70713,106295,,,,,,
Sign Top,7132,83643,121397,,,,,,
Sign Bottom,7133,63670,109174,,,,,,
Sign Bottom,7134,87903,100736,,,,,,
Sign Top,7135,206092,237876,,,,,,
Sign Top,7136,50229,82798,,,,,,
Sign Top,7137,46992,81481,,,,,,
Sign Top,7138,34573,70325,,,,,,
Sign Bottom,7139,23796,66689,110882,148158,,,,
Sign Top,7140,73576,106058,,,,,,
Sign Bottom,7141,85941,123166,15,2195,,,,
Sign Bottom,7142,30064,79515,14235,50581,9078,53055,,
Sign Top,7143,171000,211011,75000,94558,,,,
Sign Top,7144,263,30606,89999,126995,,,,
Sign Top,7145,116945,133435,,,,,,
Sign Top,7146,18,3812,,,,,,
Sign Bottom,7147,69453,92547,,,,,,
Sign Top,7148,121067,137652,150000,165592,,,,
Sign Bottom,7149,206520,227166,,,,,,
Sign Bottom,7150,146510,185224,,,,,,
Sign Top,7151,7117,33178,,,,,,
Sign Bottom,7152,22871,52915,39109,81308,21964,33056,,
Sign Top,7153,50000,72191,,,,,,
Sign Top,7154,18853,53429,21520,45004,,,,
Sign Top,7155,98216,122466,,,7899,44076,,
Sign Bottom,7156,96524,117124,80975,105125,,,,
Sign Bottom,7157,95748,103343,,,,,,
Sign Bottom,7158,19001,55395,,,,,,
Sign Bottom,7159,13700,48420,,,,,,
Sign Top,7160,95444,137695,55407,82626,,,,
Sign Top,7161,120031,165421,101872,135580,,,,
Sign Top,7162,59490,81172,6248,15129,,,,
Sign Top,7163,0,5977,,,,,,
Sign Top,7164,66022,114247,,,,,,
Sign Top,7165,115716,133636,48936,79444,,,,
Sign Bottom,7166,78323,111989,,,,,5344,34421
Sign Bottom,7167,14180,38134,,,9895,39766,,
Sign Top,7168,91869,137578,,,,,,
Sign Top,7169,44259,64233,99707,144849,,,,
Sign Top,7170,57622,96989,14363,41458,,,,
Sign Top,7171,113008,144258,10450,17477,,,,
Sign Bottom,7172,31961,49103,,,,,,
Sign Top,7173,1186,28417,,,,,,
Sign Bottom,7174,11591,16644,,,,,,
Sign Bottom,7175,75231,89275,40476,66293,,,,
Sign Top,7176,2029,27350,,,,,,
Sign Top,7177,35744,75155,3072,42310,,,,
Sign Bottom,7178,7043,36823,,,,,,
Sign Top,7179,48253,57734,,,,,,
Sign Top,7180,98000,140495,100,35589,,,,
Sign Bottom,7181,87102,110785,,,,,,
Sign Bottom,7182,28043,56330,,,134000,143692,,
Sign Top,7183,17344,62027,14262,49010,,,,
Sign Bottom,7184,102660,119808,68236,110871,,,,
Sign Top,7185,186380,214446,,,100684,132688,,
Sign Top,7186,13000,43426,,,,,,
Sign Bottom,7187,221639,226799,88812,105382,,,,
Sign Top,7188,19000,40464,0,24587,,,,
Sign Bottom,7189,17237,30942,42612,74346,10346,44363,,
Sign Top,7190,65000,99591,,,,,,
Sign Top,7191,28941,46973,25493,70258,,,,
Sign Bottom,7192,299100,312384,,,,,,
Sign Top,7193,90822,130111,87270,102376,,,,
Sign Bottom,7194,89140,131529,39709,83114,,,,
Sign Top,7195,175359,179411,,,,,,
Sign Bottom,7196,44809,50101,,,,,,
Sign Top,7197,54247,100073,785,23376,,,95,24890
Sign Bottom,7198,68812,72905,,,,,,
Sign Bottom,7199,36999,69650,,,,,,
Sign Top,7200,75453,97406,711,37472,,,,
Sign Bottom,7201,146006,188147,,,,,,
Sign Top,7202,18543,36899,20658,52199,,,,
Sign Top,7203,104000,138787,,,,,,
Sign Top,7204,45551,90119,4211,27654,,,,
Sign Bottom,7205,46494,73493,,,,,,
Sign Top,7206,200776,222079,,,,,,
Sign Top,7207,1300,12755,,,,,,
Sign Top,7208,85255,85881,25456,44083,,,,
Sign Bottom,7209,121320,132787,,,,,,
Sign Bottom,7210,51929,73673,50126,64189,,,,
Sign Top,7211,37289,57968,72035,112130,,,,
Sign Top,7212,40000,74723,,,,,,
Sign Top,7213,48000,84910,3467,29289,,,,
Sign Bottom,7214,72860,115011,,,103763,139952,,
Sign Top,7215,16000,44278,,,,,,
Sign Top,7216,23734,55152,,,,,,
Sign Bottom,7217,73479,87549,,,,,,
Sign Bottom,7218,14433,53850,148570,195783,139646,170603,,
Sign Bottom,7219,85193,118587,127496,174219,,,,
Sign Top,7220,18152,30447,,,,,,
Sign Top,7221,20461,24508,,,,,,
Sign Top,7222,52600,101965,,,,,,
Sign Top,7223,32096,32536,62462,85904,,,,
Sign Bottom,7224,61126,89634,,,,,,
Sign Bottom,7225,101627,105029,21691,39465,,,,
Sign Top,7226,32000,62228,65000,110409,,,,
Sign Top,7227,0,5540,,,,,,
Sign Top,7228,80403,129934,,,,,,
Sign Bottom,7229,117263,165823,,,,,,
Sign Top,7230,293,32851,7360,37183,,,,
Sign Bottom,7231,59484,74188,,,,,,
Sign Top,7232,90000,114720,,,,,,
Sign Top,7233,72455,103155,104000,149327,,,,
Sign Top,7234,21000,65295,136667,151241,163703,181381,,
Sign Bottom,7235,35309,71656,88648,128440,,,,
Sign Bottom,7236,83079,121259,,,146580,182600,,
Sign Top,7237,1,44293,,,,,,
Sign Top,7238,31000,78669,11000,56159,,,,
Sign Top,7239,22641,39497,112924,119374,,,,
Sign Bottom,7240,81127,118308,61049,79686,,,,
Sign Top,7241,9058,25998,105406,133672,35642,78828,92607,99861
Sign Top,7242,64234,65260,,,,,,
Sign Top,7243,2,49821,,,,,,
Sign Top,7244,36169,63084,344,40626,,,,
Sign Top,7245,94000,98295,,,69421,106314,,
Sign Bottom,7246,71333,117490,198381,245514,,,,
Sign Top,7247,24225,48859,,,,,,
Sign Bottom,7248,36936,64206,,,,,,
Sign Top,7249,318102,347989,,,,,,
Sign Bottom,7250,11648,12195,21559,40391,,,,
Sign Bottom,7251,46871,89431,,,,,,
Sign Top,7252,9050,55782,,,,,,
Sign Bottom,7253,19000,59015,2200,43037,,,,
Sign Top,7254,30853,40453,15929,46434,,,,
Sign Bottom,7255,54178,82345,,,26921,59059,,
Sign Top,7256,34000,54047,,,20000,34274,,
Sign Top,7257,102482,140688,29355,34284,,,,
Sign Bottom,7258,77769,105129,75392,116272,,,,
Sign Top,7259,133000,163049,,,,,,
Sign Top,7260,77500,111260,,,,,,
Sign Bottom,7261,152246,175854,,,,,,
Sign Bottom,7262,18077,41443,227963,252785,,,,
Sign Top,7263,60778,96735,,,,,,
Sign Bottom,7264,77369,95140,,,,,,
Sign Top,7265,0,31618,,,,,,
Sign Top,7266,134000,167486,56000,89876,,,,
Sign Top,7267,20,40071,22760,64785,,,,
Sign Bottom,7268,2206,7320,,,,,,
Sign Bottom,7269,108247,132090,,,,,,
Sign Bottom,7270,134668,159143,94045,134582,,,,
Sign Bottom,7271,12815,56230,43148,43981,7456,13573,,
Sign Top,7272,72139,94068,8,27005,67000,92718,,
Sign Top,7273,50,20162,,,,,,
Sign Bottom,7274,78436,99294,139342,155063,,,,
Sign Bottom,7275,104104,106751,,,,,,
Sign Top,7276,11409,42990,16647,57345,,,,
Sign Bottom,7277,160102,169086,,,,,,
Sign Top,7278,33457,73318,152048,170690,,,,
Sign Top,7279,46516,63902,,,,,,
Sign Bottom,7280,49995,55163,50250,60365,,,,
Sign Bottom,7281,23860,64227,10505,58268,,,,
Sign Top,7282,116382,118212,,,,,,
Sign Top,7283,125530,149310,,,,,,
Sign Top,7284,765,34005,,,,,,
Sign Top,7285,49381,58159,4000,47974,,,,
Sign Bottom,7286,25468,36558,,,,,,
Sign Bottom,7287,29239,51683,,,17815,50473,,
Sign Bottom,7288,87825,98705,36644,67278,,,,
Sign Top,7289,51000,57655,,,,,,
Sign Bottom,7290,208003,230711,44270,78424,,,,
Sign Top,7291,63504,99427,,,,,,
Sign Bottom,7292,53427,85871,11280,36588,,,,
Sign Bottom,7293,54564,85636,14764,23523,,,,
Sign Top,7294,47100,50378,9812,31559,,,,
Sign Top,7295,935,15201,120126,156712,125099,141385,146367,162341
Sign Top,7296,33518,71151,11212,52400,,,,
Sign Bottom,7297,85940,131099,32257,35412,,,,
Sign Bottom,7298,118945,162738,,,,,,
Sign Bottom,7299,48604,94631,43222,63172,,,,
Sign Top,7300,220723,270544,150333,151060,,,,
Sign Bottom,7301,31020,55681,142725,147390,,,,
Sign Top,7302,8240,37449,86212,98372,,,,
Sign Top,7303,46017,71794,120000,168380,,,,
Sign Top,7304,21629,62119,136881,152023,164216,196807,,
Sign Top,7305,90413,127392,,,,,,
Sign Bottom,7306,46088,81167,22258,39804,,,,
Sign Bottom,7307,12316,39660,65898,84538,,,,
Sign Top,7308,40278,76051,96,33608,,,,
Sign Bottom,7309,9057,56006,,,,,,
Sign Top,7310,14473,47211,34000,68294,,,,
Sign Top,7311,17514,38565,,,,,,
Sign Top,7312,47460,85855,,,,,,
Sign Top,7313,169306,173326,,,,,,
Sign Top,7314,100977,125240,,,,,,
Sign Bottom,7315,36821,69487,33668,82119,,,,
Sign Top,7316,96403,128471,114470,115566,,,,
Sign Top,7317,24000,27960,24000,32164,18500,58630,,
Sign Bottom,7318,36275,52060,42188,70448,,,,
Sign Bottom,7319,20716,39392,70958,113151,,,,
Sign Top,7320,302,3656,,,,,,
Sign Bottom,7321,109899,144864,,,,,,
Sign Top,7322,40055,47005,,,,,,
Sign Bottom,7323,102487,138969,,,,,,
Sign Top,7324,88500,133480,68000,85204,,,,
Sign Bottom,7325,15610,32128,,,,,,
Sign Bottom,7326,58479,91208,,,,,,
Sign Top,7327,73500,104087,15,9067,,,,
Sign Bottom,7328,91939,113453,,,,,,
Sign Bottom,7329,43342,54594,24653,42464,6597,53024,,
Sign Top,7330,108864,149683,52681,57734,,,,
Sign Bottom,7331,75307,110367,,,,,,
Sign Bottom,7332,125540,130407,,,,,,
Sign Top,7333,17122,26587,113983,132539,,,,
Sign Top,7334,30953,45324,,,,,,
Sign Top,7335,936,18547,,,,,,
Sign Bottom,7336,30697,63503,,,,,,
Sign Top,7337,34205,54312,,,181807,208524,,
Sign Bottom,7338,77264,122675,20005,35454,194326,240374,,
Sign Bottom,7339,47870,89243,,,,,,
Sign Top,7340,17643,57360,95344,144055,122074,141280,,
Sign Bottom,7341,89530,112925,,,,,3485,20923
Sign Bottom,7342,43095,64693,,,,,,
Sign Bottom,7343,71235,81147,5063,43166,,,,
Sign Bottom,7344,71800,83220,87281,114660,,,,
Sign Top,7345,2600,16727,80000,125890,,,,
Sign Top,7346,0,17228,,,,,,
Sign Top,7347,845,25093,131045,179156,38591,52664,80980,114712
Sign Top,7348,80509,103571,56256,84836,,,,
Sign Bottom,7349,76433,108672,,,,,,
Sign Top,7350,87768,123026,,,,,,
Sign Top,7351,29,45658,,,,,,
Sign Bottom,7352,50791,84013,,,,,,
Sign Top,7353,20804,57299,,,,,,
Sign Top,7354,50,32847,,,22141,33028,,
Sign Top,7355,10043,19964,52770,69869,88866,117543,,
Sign Top,7356,73773,94564,21626,45818,,,,
Sign Bottom,7357,443920,466248,,,,,,
Sign Top,7358,23658,67136,,,,,,
Sign Bottom,7359,5845,11564,9325,10855,,,,
Sign Bottom,7360,53052,96830,,,,,,
Sign Top,7361,63804,81251,,,,,,
Sign Bottom,7362,78145,96196,,,,,,
Sign Top,7363,10122,52923,7,32869,,,,
Sign Top,7364,25000,29825,14000,46192,,,,
Sign Bottom,7365,131995,155771,,,,,,
Sign Bottom,7366,98297,132626,148313,173155,,,,
Sign Bottom,7367,32600,57465,21700,40090,,,,
Sign Top,7368,165286,181295,,,,,,
Sign Top,7369,60000,79444,141500,158578,,,,
Sign Bottom,7370,93730,124185,119710,161479,,,,
Sign Top,7371,153044,161715,105835,121835,,,,
Sign Bottom,7372,48982,50951,,,,,,
Sign Bottom,7373,32220,41612,,,,,,
Sign Bottom,7374,126756,149383,83909,105770,,,,
Sign Bottom,7375,68112,84352,58274,78267,,,,
Sign Bottom,7376,1452,39333,,,89379,90459,,
Sign Bottom,7377,92000,141810,,,,,,
Sign Top,7378,35940,71904,,,,,,
Sign Bottom,7379,164240,210949,,,,,,
Sign Top,7380,176072,197179,242151,268932,,,,
Sign Bottom,7381,31377,76418,6123,51508,34814,53933,,
Sign Bottom,7382,50614,64522,,,,,,
Sign Bottom,7383,255,9500,52446,85594,,,,
Sign Top,7384,58989,107914,130501,157588,,,,
Sign Top,7385,56563,99429,,,,,,
Sign Bottom,7386,89775,126689,157454,200522,,,,
Sign Top,7387,115571,117492,,,,,,
Sign Top,7388,25382,47622,,,,,,
Sign Top,7389,4216,39098,8351,24742,175189,194017,,
Sign Top,7390,114105,148930,,,,,,
Sign Bottom,7391,57148,69277,100745,114319,,,,
Sign Top,7392,1933,26627,,,,,,
Sign Bottom,7393,28623,66765,71042,117274,,,,
Sign Top,7394,97382,111664,,,7393,37213,,
Sign Top,7395,76000,92467,94787,139609,,,,
Sign Bottom,7396,44210,69280,,,,,,
Sign Bottom,7397,76000,101136,19550,56237,,,,
Sign Top,7398,46000,62853,94033,125838,,,,
Sign Bottom,7399,64093,76273,,,,,,
Sign Top,7400,42327,43685,,,,,,
Sign Bottom,7401,64580,72657,,,,,,
Sign Top,7402,1000,42288,60000,90258,,,,
Sign Top,7403,140029,182335,,,,,,
Sign Bottom,7404,26098,70343,,,33677,69422,,
Sign Top,7405,195000,206060,,,,,,
Sign Top,7406,125268,164990,,,,,,
Sign Top,7407,74880,79404,,,,,,
Sign Top,7408,10173,48706,2173,38360,,,,
Sign Bottom,7409,93366,125606,,,,,,
Sign Bottom,7410,30629,62473,14938,53547,9136,54092,,
Sign Top,7411,917,49609,41621,65860,,,,
Sign Bottom,7412,161018,202233,152694,183501,,,,
Sign Bottom,7413,54902,78873,111168,129640,,,,
Sign Bottom,7414,72290,73115,,,,,,
Sign Top,7415,23196,23980,,,,,,
Sign Top,7416,42671,46829,33075,66173,,,,
Sign Bottom,7417,31465,64878,,,,,,
Sign Top,7418,3000,52573,,,,,,
Sign Bottom,7419,186507,187953,,,,,,
Sign Bottom,7420,39075,69089,,,,,,
Sign Top,7421,45639,72428,,,,,,
Sign Top,7422,80800,106843,,,,,,
Sign Top,7423,3200,43627,13000,22297,,,64000,72879
Sign Top,7424,70280,119280,,,,,,
Sign Bottom,7425,36793,83153,,,,,,
Sign Bottom,7426,30211,61008,41792,66649,,,,
Sign Top,7427,19198,43984,,,,,,
Sign Bottom,7428,156470,157295,64770,110524,,,,
Sign Top,7429,9230,33336,,,,,,
Sign Bottom,7430,122929,160286,,,,,,
Sign Top,7431,41009,59790,123194,144249,,,24671,35923
Sign Top,7432,134929,157581,,,808,43956,,
Sign Top,7433,34676,68010,,,,,,
Sign Top,7434,4493,45620,,,,,,
Sign Bottom,7435,28112,50731,91615,94642,,,,
Sign Top,7436,50,10815,,,,,,
Sign Top,7437,63000,74060,,,99824,132067,,
Sign Top,7438,211157,228881,31159,78877,,,,
Sign Top,7439,18850,38519,,,,,,
Sign Bottom,7440,127483,129251,74432,112809,,,,
Sign Top,7441,176823,199054,,,,,,
Sign Top,7442,4404,34876,,,,,,
Sign Top,7443,102335,126825,30026,53292,,,,
Sign Bottom,7444,60254,69830,130083,147680,,,,
Sign Top,7445,28753,43880,,,,,,
Sign Top,7446,12,5781,117678,167235,,,,
Sign Top,7447,84506,133677,86461,117351,,,,
Sign Top,7448,129572,158187,55153,61044,,,,
Sign Top,7449,41000,43805,2981,11849,,,,
Sign Bottom,7450,48714,59854,21764,57149,,,75477,80224
Sign Bottom,7451,105865,145214,,,,,,
Sign Bottom,7452,136340,177053,40182,57744,,,,
Sign Bottom,7453,33119,66264,,,31244,40211,,
Sign Bottom,7454,40221,80217,56714,61425,,,,
Sign Bottom,7455,28205,65819,,,,,,
Sign Top,7456,63638,67279,,,4050,8014,,
Sign Bottom,7457,90988,119221,76608,110543,,,,
Sign Top,7458,48000,92084,,,,,,
Sign Top,7459,80664,119759,,,,,,
Sign Top,7460,52000,97141,0,28286,2000,51656,,
Sign Bottom,7461,23516,50024,73000,87353,,,,
Sign Bottom,7462,91427,138040,,,,,,
Sign Top,7463,68775,73116,,,,,,
Sign Bottom,7464,101038,138361,302180,335295,57998,75574,,
Sign Top,7465,83433,84325,,,,,,
Sign Top,7466,65668,111526,85812,129275,,,,
Sign Top,7467,65000,102154,,,,,,
Sign Bottom,7468,98461,107572,10144,20377,,,,
Sign Bottom,7469,61186,67189,,,,,,
Sign Bottom,7470,99033,139598,,,,,,
Sign Bottom,7471,89326,104773,,,,,,
Sign Top,7472,5000,21908,,,,,,
Sign Top,7473,12601,38131,,,,,,
Sign Bottom,7474,121625,123355,,,,,,
Sign Bottom,7475,75479,95058,,,,,,
Sign Top,7476,89094,131882,,,,,,
Sign Top,7477,14472,30740,,,,,,
Sign Bottom,7478,142037,164622,,,,,,
Sign Top,7479,57063,67422,,,,,,
Sign Bottom,7480,70478,73023,14313,58768,,,,
Sign Top,7481,39000,83297,70000,88504,,,,
Sign Top,7482,5000,13418,,,,,,
Sign Bottom,7483,88318,122856,,,,,,
Sign Bottom,7484,22700,46929,,,,,,
Sign Bottom,7485,4726,11287,70499,76100,90686,123850,,
Sign Bottom,7486,41213,62084,9040,58362,,,,
Sign Bottom,7487,17770,65961,,,,,216874,244658
Sign Top,7488,54484,73616,,,,,,
Sign Top,7489,1610,31161,,,,,,
Sign Top,7490,42456,75406,,,,,,
Sign Top,7491,11500,12491,36159,44935,,,,
Sign Bottom,7492,75415,80071,,,,,,
Sign Top,7493,22700,59570,,,100407,149344,,
Sign Top,7494,10,40159,,,,,,
Sign Bottom,7495,10189,10800,10566,51270,,,,
Sign Top,7496,95715,99857,25660,27637,,,,
Sign Bottom,7497,50250,67940,,,,,,
Sign Top,7498,77000,107976,,,,,,
Sign Bottom,7499,199938,215286,37366,69024,,,,
Sign Bottom,7500,24892,25298,,,,,,
Sign Top,7501,65326,66633,,,,,,
Sign Top,7502,81615,95663,,,,,,
Sign Bottom,7503,22871,66887,129360,158535,,,,
Sign Bottom,7504,30169,57011,,,,,,
Sign Bottom,7505,97427,100326,147753,165501,,,,
Sign Top,7506,9952,29614,60000,63960,,,,
Sign Top,7507,46309,91555,,,,,,
Sign Top,7508,150550,177333,,,,,,
Sign Bottom,7509,3905,35029,,,,,,
Sign Top,7510,394,9619,55393,79600,,,,
Sign Top,7511,63023,110754,54109,57737,,,,
